"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Reactome Pathways"	"WikiPathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"-3040318339322327838"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN18_c0_g1_i14.p1"	"ONUN2_DN18_c0_g1~~ONUN2_DN18_c0_g1_i14.p1  ORF type:5prime_partial len:2974 (-),score=373.17 ONUN2_DN18_c0_g1_i14:356-9277(-)"	"0.000"	"549.082"	"55"	"91"	"725"	"4"	"2973"	"337.4"	"8.48"	"7008"	"91"	""	""	""	""	""	"ONUN2_DN18_c0_g1_i14.p1"	""	""	""	""	"0"	"4.180"	"48.926"	"1.532"	"11.705"	"0.367"	"0.031"	""	""	""	"0.0518343445790785"	""	""	"2520296.68888459"	"10534213.5106976"	"123306968.098176"	"3861158.35053102"	""	"18.55"	"44.11"	""	"Peak Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"Not Found"	"1"	""
"1271028727857499328"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN237_c0_g1_i8.p1"	"ONUN2_DN237_c0_g1~~ONUN2_DN237_c0_g1_i8.p1  ORF type:complete len:4697 (-),score=823.42 ONUN2_DN237_c0_g1_i8:276-14366(-)"	"0.000"	"516.069"	"33"	"135"	"787"	"135"	"4696"	"536.8"	"6.38"	"7717"	"135"	""	""	""	""	""	"ONUN2_DN237_c0_g1_i8.p1"	""	""	""	""	"0"	"6.020"	"2.311"	"3.380"	"0.384"	"0.561"	"1.462"	"0.963364957953357"	"0.999999999988851"	"1"	"0.779169349606456"	"0.999999999946628"	"0.999999999996024"	"65585738.6230291"	"394830330.853669"	"151600416.461387"	"221669610.154211"	"148.57"	"32.26"	"55.13"	"28.67"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-935836320755110290"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1169_c0_g1_i1.p1"	"ONUN2_DN1169_c0_g1~~ONUN2_DN1169_c0_g1_i1.p1  ORF type:5prime_partial len:1990 (-),score=487.08 ONUN2_DN1169_c0_g1_i1:122-6091(-)"	"0.000"	"511.567"	"58"	"80"	"1207"	"2"	"1989"	"211.0"	"5.35"	"13913"	"80"	""	""	""	""	""	"ONUN2_DN1169_c0_g1_i1.p1"	""	""	""	""	"0"	"3.417"	"0.010"	"4.608"	"0.010"	"1.349"	"100.000"	"0.575689219982524"	""	"1"	""	"0.999999999946628"	""	"7803237.14967768"	"26667239.4972126"	""	"35960889.9889122"	"18.39"	"52.08"	""	"76.14"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"1"	""
"4080021842388882945"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1169_c0_g1_i6.p1"	"ONUN2_DN1169_c0_g1~~ONUN2_DN1169_c0_g1_i6.p1  ORF type:5prime_partial len:1990 (-),score=486.88 ONUN2_DN1169_c0_g1_i6:122-6091(-)"	"0.000"	"511.469"	"58"	"80"	"1204"	"2"	"1989"	"211.0"	"5.35"	"13881"	"80"	""	""	""	""	""	"ONUN2_DN1169_c0_g1_i6.p1"	""	""	""	""	"0"	"0.010"	"0.010"	"0.010"	""	""	""	""	""	""	""	""	""	"5669076.30500429"	""	""	""	""	""	""	""	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"1"	""
"6763791620212130758"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN3771_c0_g1_i6.p1"	"ONUN2_DN3771_c0_g1~~ONUN2_DN3771_c0_g1_i6.p1  ORF type:3prime_partial len:3791 (-),score=593.53 ONUN2_DN3771_c0_g1_i6:2-11371(-)"	"0.000"	"476.714"	"32"	"93"	"542"	"92"	"3790"	"429.9"	"7.31"	"5729"	"93"	""	""	""	""	""	"ONUN2_DN3771_c0_g1_i6.p1"	""	""	""	""	"0"	"0.060"	"6.212"	"0.486"	"100.000"	"8.038"	"0.078"	"0.0689520712166545"	"0.153778129488812"	"1"	"0.00621242593336238"	"0.196976338624449"	"0.0387084085581942"	"1955046291.32541"	"118089032.237692"	"12144207240.6363"	"949187648.079971"	"18.69"	"24.34"	"12.38"	"94.58"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"-4848732905758428951"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN18_c0_g1_i10.p1"	"ONUN2_DN18_c0_g1~~ONUN2_DN18_c0_g1_i10.p1  ORF type:5prime_partial len:2991 (-),score=364.80 ONUN2_DN18_c0_g1_i10:2223-11195(-)"	"0.000"	"475.145"	"51"	"84"	"676"	"18"	"2990"	"339.9"	"8.53"	"7014"	"84"	""	""	""	""	""	"ONUN2_DN18_c0_g1_i10.p1"	""	""	""	""	"0"	"3.884"	"30.855"	"1.249"	"7.943"	"0.321"	"0.040"	"0.238495025456099"	"0.0155841380271331"	"1"	"0.156607485704621"	"0.691981863913985"	"0.0304967909092222"	"11972439.2108738"	"46505778.8903247"	"369415127.101194"	"14948740.3734042"	"77.24"	"42.54"	"29.91"	"45.94"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2268254977070345506"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN14645_c0_g1_i1.p1"	"ONUN2_DN14645_c0_g1~~ONUN2_DN14645_c0_g1_i1.p1  ORF type:complete len:874 (-),score=194.91 ONUN2_DN14645_c0_g1_i1:222-2843(-)"	"0.000"	"474.004"	"70"	"70"	"953"	"69"	"873"	"100.5"	"5.68"	"14201"	"70"	""	""	""	""	""	"ONUN2_DN14645_c0_g1_i1.p1"	""	""	""	""	"0"	"5.471"	"31.507"	"0.334"	"5.759"	"0.061"	"0.011"	""	""	""	"0.541290762272855"	""	""	"66017971.7802096"	"361183299.32488"	"2080047108.38154"	"22054441.9384161"	""	"40.48"	"89.89"	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-4939745782600126227"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN5313_c0_g1_i1.p1"	"ONUN2_DN5313_c0_g1~~ONUN2_DN5313_c0_g1_i1.p1  ORF type:complete len:868 (-),score=185.94 ONUN2_DN5313_c0_g1_i1:277-2880(-)"	"0.000"	"453.328"	"67"	"63"	"838"	"63"	"867"	"100.4"	"5.49"	"11663"	"63"	""	""	""	""	""	"ONUN2_DN5313_c0_g1_i1.p1"	""	""	""	""	"0"	"100.000"	"100.000"	"1.577"	"5.198"	"0.010"	"0.010"	"0.125168955886139"	"0.0407911305583407"	"1"	"0.999999999928841"	"0.222407755244368"	"0.0485234481986311"	"1988745.58621889"	"312048747.880665"	"1622043348.36111"	"3136195.08333302"	"115.92"	"44.30"	"95.72"	"142.36"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"7615242821611896776"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN156_c0_g2_i1.p1"	"ONUN2_DN156_c0_g2~~ONUN2_DN156_c0_g2_i1.p1  ORF type:complete len:1957 (-),score=458.88 ONUN2_DN156_c0_g2_i1:129-5999(-)"	"0.000"	"417.343"	"39"	"74"	"676"	"54"	"1956"	"225.1"	"5.68"	"8053"	"74"	""	""	""	""	""	"ONUN2_DN156_c0_g2_i1.p1"	""	""	""	""	"0"	"0.270"	"1.018"	"0.861"	"3.773"	"3.190"	"0.845"	"0.338610442451161"	"0.999999999988851"	"1"	"0.390384778005773"	"0.459296984165977"	"0.999999999996024"	"412458263.832213"	"111312346"	"420003978.123626"	"355108083.942733"	"25.90"	"11.03"	"87.24"	"65.54"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-187725845298697573"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN42_c0_g1_i2.p1"	"ONUN2_DN42_c0_g1~~ONUN2_DN42_c0_g1_i2.p1  ORF type:complete len:2357 (-),score=540.27 ONUN2_DN42_c0_g1_i2:1625-8695(-)"	"0.000"	"395.232"	"45"	"87"	"551"	"85"	"2356"	"272.9"	"5.20"	"5780"	"87"	""	""	""	""	""	"ONUN2_DN42_c0_g1_i2.p1"	""	""	""	""	"0"	"5.319"	"0.543"	"2.437"	"0.102"	"0.458"	"4.492"	"0.0914429522883575"	"0.999999999988851"	"1"	"0.0330209152255583"	"0.708697855264109"	"0.134715500651064"	"28148997.2052557"	"149713331.256818"	"15273668.1197842"	"68606667.3479139"	"47.27"	"38.13"	"24.22"	"34.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-8806026056531191515"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN26_c0_g2_i2.p1"	"ONUN2_DN26_c0_g2~~ONUN2_DN26_c0_g2_i2.p1  ORF type:5prime_partial len:5847 (-),score=904.00 ONUN2_DN26_c0_g2_i2:124-17664(-)"	"0.000"	"393.120"	"22"	"103"	"321"	"98"	"5846"	"638.4"	"5.14"	"3475"	"103"	""	""	""	""	""	"ONUN2_DN26_c0_g2_i2.p1"	""	""	""	""	"0"	"100.000"	"100.000"	""	"50.634"	"0.010"	"0.010"	""	""	""	""	""	""	""	"1222550.47676459"	"61902445.9952423"	""	""	""	"52.95"	""	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"2653788762384168862"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN18_c0_g1_i2.p1"	"ONUN2_DN18_c0_g1~~ONUN2_DN18_c0_g1_i2.p1  ORF type:internal len:2135 (-),score=263.14 ONUN2_DN18_c0_g1_i2:2-6403(-)"	"0.000"	"359.891"	"55"	"54"	"443"	"6"	"2134"	"242.9"	"8.34"	"4538"	"54"	""	""	""	""	""	"ONUN2_DN18_c0_g1_i2.p1"	""	""	""	""	"0"	"26.404"	"100.000"	"4.964"	"4.905"	"0.188"	"0.038"	"0.132870683063187"	"0.0250424713382711"	"1"	"0.297860522558484"	"0.65161173082262"	"0.0870314303541246"	"1002856.11533628"	"26479029.5406785"	"129868076.682316"	"4978458.6288523"	"19.87"	"57.27"	"51.60"	"99.46"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"High"	"1"	""
"-3930092098325102830"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1003_c0_g1_i8.p1"	"ONUN2_DN1003_c0_g1~~ONUN2_DN1003_c0_g1_i8.p1  ORF type:complete len:2257 (-),score=433.95 ONUN2_DN1003_c0_g1_i8:404-7174(-)"	"0.000"	"348.723"	"43"	"72"	"756"	"71"	"2256"	"245.2"	"5.38"	"9815"	"72"	""	""	""	""	""	"ONUN2_DN1003_c0_g1_i8.p1"	""	""	""	""	"0"	"1.006"	"0.575"	"4.221"	"0.572"	"4.196"	"7.341"	"0.999999999998446"	"0.673532737579414"	"1"	"0.467215113137011"	"0.581890254996619"	"0.0666972207501177"	"151924510.455264"	"152839185.165009"	"87358758.6657698"	"641333547.070926"	"56.01"	"13.42"	"65.63"	"26.85"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-5454511640050268019"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN346_c0_g1_i1.p1"	"ONUN2_DN346_c0_g1~~ONUN2_DN346_c0_g1_i1.p1  ORF type:complete len:4059 (-),score=374.38 ONUN2_DN346_c0_g1_i1:85-12261(-)"	"0.000"	"339.099"	"22"	"90"	"292"	"77"	"4058"	"475.1"	"9.66"	"3514"	"90"	""	""	""	""	""	"ONUN2_DN346_c0_g1_i1.p1"	""	""	""	""	"0"	"0.076"	"0.208"	"0.452"	"2.742"	"5.961"	"2.174"	"0.0923376153150449"	"0.134281358129746"	"1"	"0.999999999928841"	"0.2168888302568"	"0.271133406956296"	"7882614687.12276"	"598248241.76138"	"1640513669.28069"	"3566397332.96153"	"44.87"	"21.90"	"61.33"	"78.80"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"2086099529830662090"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN93_c5_g1_i1.p1"	"ONUN2_DN93_c5_g1~~ONUN2_DN93_c5_g1_i1.p1  ORF type:complete len:1023 (-),score=191.24 ONUN2_DN93_c5_g1_i1:369-3437(-)"	"0.000"	"337.426"	"52"	"48"	"785"	"43"	"1022"	"113.5"	"5.63"	"11596"	"48"	""	""	""	""	""	"ONUN2_DN93_c5_g1_i1.p1"	""	""	""	""	"0"	"15.717"	"2.439"	"1.675"	"0.155"	"0.107"	"0.687"	"0.230453719155691"	"0.999999999988851"	"1"	"0.182341152810623"	"0.40547742089838"	"0.999999999996024"	"47173671.8365094"	"741433514.666667"	"115053541.182548"	"79016786.8247201"	"102.57"	"4.81"	"74.22"	"55.42"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"1605759020990356140"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1842_c0_g2_i1.p1"	"ONUN2_DN1842_c0_g2~~ONUN2_DN1842_c0_g2_i1.p1  ORF type:complete len:525 (-),score=124.09 ONUN2_DN1842_c0_g2_i1:673-2247(-)"	"0.000"	"331.081"	"72"	"26"	"1096"	"12"	"524"	"56.8"	"6.24"	"13991"	"26"	""	""	""	""	""	"ONUN2_DN1842_c0_g2_i1.p1"	""	""	""	""	"0"	"2.721"	"0.422"	"1.489"	"0.155"	"0.547"	"3.532"	"0.308182218900883"	"0.647743671155153"	"1"	"0.0599320199374952"	"0.967403994214592"	"0.182405887208214"	"479920374.615977"	"1306046958.59956"	"202391753.190628"	"714753360.897828"	"56.38"	"16.97"	"40.80"	"41.30"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
